task_norm,occupation_norm,year,paper_year_count
"compute and analyze data, using statistical formulas and computers or calculators",statistical assistants,2024.0,64
"compute and analyze data, using statistical formulas and computers or calculators",statistical assistants,2025.0,36
"compute and authorize amounts of assistance for programs, such as grants, monetary payments, and food stamps","eligibility interviewers, government programs",2024.0,4
"compute and authorize amounts of assistance for programs, such as grants, monetary payments, and food stamps","eligibility interviewers, government programs",2025.0,2
"compute cost of travel and accommodations, using calculator, computer, carrier tariff books, and hotel rate books, or quote package tour's costs",travel agents,2023.0,1
"compute cost of travel and accommodations, using calculator, computer, carrier tariff books, and hotel rate books, or quote package tour's costs",travel agents,2024.0,7
"compute cost of travel and accommodations, using calculator, computer, carrier tariff books, and hotel rate books, or quote package tour's costs",travel agents,2025.0,2
"compute costs of records furnished to requesters, and write letters to obtain payment",correspondence clerks,2024.0,2
"compute costs of records furnished to requesters, and write letters to obtain payment",correspondence clerks,2025.0,1
"compute credit terms, discounts, shipment charges, or rates for goods or services to complete billing documents",billing and posting clerks,2023.0,1
"compute credit terms, discounts, shipment charges, or rates for goods or services to complete billing documents",billing and posting clerks,2024.0,2
"compute credit terms, discounts, shipment charges, or rates for goods or services to complete billing documents",billing and posting clerks,2025.0,1
"compute customer's installation or production costs and estimate savings from new services, products, or equipment","sales representatives, wholesale and manufacturing, technical and scientific products",2023.0,2
"compute customer's installation or production costs and estimate savings from new services, products, or equipment","sales representatives, wholesale and manufacturing, technical and scientific products",2024.0,6
"compute customer's installation or production costs and estimate savings from new services, products, or equipment","sales representatives, wholesale and manufacturing, technical and scientific products",2025.0,2
"compute figures such as balances, totals, or commissions",first-line supervisors of office and administrative support workers,2023.0,6
"compute figures such as balances, totals, or commissions",first-line supervisors of office and administrative support workers,2024.0,9
"compute figures such as balances, totals, or commissions",first-line supervisors of office and administrative support workers,2025.0,3
"compute final estimation of property values, taking into account such factors as depreciation, replacement costs, value comparisons of similar properties, and income potential",appraisers and assessors of real estate,2023.0,1
"compute final estimation of property values, taking into account such factors as depreciation, replacement costs, value comparisons of similar properties, and income potential",appraisers and assessors of real estate,2024.0,1
"compute final estimation of property values, taking into account such factors as depreciation, replacement costs, value comparisons of similar properties, and income potential",appraisers and assessors of real estate,2025.0,2
"compute geodetic measurements and interpret survey data to determine positions, shapes, and elevations of geomorphic and topographic features",surveyors,2023.0,3
"compute geodetic measurements and interpret survey data to determine positions, shapes, and elevations of geomorphic and topographic features",surveyors,2024.0,14
"compute geodetic measurements and interpret survey data to determine positions, shapes, and elevations of geomorphic and topographic features",surveyors,2025.0,1
"compute horizontal and vertical coordinates of control networks, using direct leveling or other geodetic survey techniques, such as triangulation, trilateration, and traversing, to establish features of the earth's surface",geodetic surveyors,2023.0,1
"compute horizontal and vertical coordinates of control networks, using direct leveling or other geodetic survey techniques, such as triangulation, trilateration, and traversing, to establish features of the earth's surface",geodetic surveyors,2024.0,11
"compute horizontal and vertical coordinates of control networks, using direct leveling or other geodetic survey techniques, such as triangulation, trilateration, and traversing, to establish features of the earth's surface",geodetic surveyors,2025.0,2
"compute load and grade requirements, water flow rates, or material stress factors to determine design specifications",civil engineers,2023.0,7
"compute load and grade requirements, water flow rates, or material stress factors to determine design specifications",civil engineers,2024.0,20
"compute load and grade requirements, water flow rates, or material stress factors to determine design specifications",civil engineers,2025.0,7
"compute mathematical formulas to develop and design detailed specifications for components or machinery, using computer-assisted equipment",mechanical drafters,2023.0,4
"compute mathematical formulas to develop and design detailed specifications for components or machinery, using computer-assisted equipment",mechanical drafters,2024.0,22
"compute mathematical formulas to develop and design detailed specifications for components or machinery, using computer-assisted equipment",mechanical drafters,2025.0,5
compute or record photonic test data,photonics technicians,2023.0,3
compute or record photonic test data,photonics technicians,2024.0,15
compute or record photonic test data,photonics technicians,2025.0,3
compute payment schedules,loan officers,2023.0,1
compute payment schedules,loan officers,2024.0,10
compute payment schedules,loan officers,2025.0,6
"compute reporting metrics, such as on-time delivery rates, order fulfillment rates, or inventory turns",logistics analysts,2023.0,3
"compute reporting metrics, such as on-time delivery rates, order fulfillment rates, or inventory turns",logistics analysts,2024.0,13
"compute reporting metrics, such as on-time delivery rates, order fulfillment rates, or inventory turns",logistics analysts,2025.0,4
"compute taxes owed or overpaid, using adding machines or personal computers, and complete entries on forms, following tax form instructions and tax tables",tax preparers,2023.0,1
"compute taxes owed or overpaid, using adding machines or personal computers, and complete entries on forms, following tax form instructions and tax tables",tax preparers,2024.0,6
"compute taxes owed or overpaid, using adding machines or personal computers, and complete entries on forms, following tax form instructions and tax tables",tax preparers,2025.0,1
compute total charges for merchandise or services and shipping charges,order clerks,2023.0,2
compute total charges for merchandise or services and shipping charges,order clerks,2024.0,11
"compute total holdings, dividends, interest, transfer taxes, brokerage fees, or commissions and allocate appropriate payments to customers",brokerage clerks,2023.0,1
"compute total holdings, dividends, interest, transfer taxes, brokerage fees, or commissions and allocate appropriate payments to customers",brokerage clerks,2024.0,16
"compute total holdings, dividends, interest, transfer taxes, brokerage fees, or commissions and allocate appropriate payments to customers",brokerage clerks,2025.0,6
"compute wages and deductions, and enter data into computers",payroll and timekeeping clerks,2023.0,1
"compute wages and deductions, and enter data into computers",payroll and timekeeping clerks,2024.0,2
"compute, record, and proofread data and other information, such as records or reports","office clerks, general",2023.0,2
"compute, record, and proofread data and other information, such as records or reports","office clerks, general",2024.0,16
"compute, record, and proofread data and other information, such as records or reports","office clerks, general",2025.0,4
"compute, withhold, and account for all payroll deductions",treasurers and controllers,2023.0,1
"compute, withhold, and account for all payroll deductions",treasurers and controllers,2024.0,3
"compute, withhold, and account for all payroll deductions",treasurers and controllers,2025.0,1
"conduct analyses addressing issues such as failure, reliability, or yield improvement",microsystems engineers,2023.0,15
"conduct analyses addressing issues such as failure, reliability, or yield improvement",microsystems engineers,2024.0,58
"conduct analyses addressing issues such as failure, reliability, or yield improvement",microsystems engineers,2025.0,29
"conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting",medical and health services managers,2023.0,3
"conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting",medical and health services managers,2024.0,31
"conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting",medical and health services managers,2025.0,12
conduct automotive design reviews,automotive engineers,2023.0,12
conduct automotive design reviews,automotive engineers,2024.0,18
conduct automotive design reviews,automotive engineers,2025.0,13
"conduct cost, material, and efficiency studies for biofuels production plants or operations",biofuels production managers,2025.0,1
conduct historical analyses of test results,software quality assurance analysts and testers,2023.0,60
conduct historical analyses of test results,software quality assurance analysts and testers,2024.0,219
conduct historical analyses of test results,software quality assurance analysts and testers,2025.0,105
"conduct historical research, and publish or present findings and theories",historians,2023.0,6
"conduct historical research, and publish or present findings and theories",historians,2024.0,38
"conduct historical research, and publish or present findings and theories",historians,2025.0,25
conduct internet-based and library research,social science research assistants,2023.0,26
conduct internet-based and library research,social science research assistants,2024.0,88
conduct internet-based and library research,social science research assistants,2025.0,50
"conduct interviews or surveys of users or customers to collect information on topics, such as requirements, needs, fatigue, ergonomics, or interfaces",human factors engineers and ergonomists,2023.0,38
"conduct interviews or surveys of users or customers to collect information on topics, such as requirements, needs, fatigue, ergonomics, or interfaces",human factors engineers and ergonomists,2024.0,128
"conduct interviews or surveys of users or customers to collect information on topics, such as requirements, needs, fatigue, ergonomics, or interfaces",human factors engineers and ergonomists,2025.0,66
"conduct logistics studies or analyses, such as time studies, zero-base analyses, rate analyses, network analyses, flow-path analyses, or supply chain analyses",logistics engineers,2023.0,4
"conduct logistics studies or analyses, such as time studies, zero-base analyses, rate analyses, network analyses, flow-path analyses, or supply chain analyses",logistics engineers,2024.0,20
"conduct logistics studies or analyses, such as time studies, zero-base analyses, rate analyses, network analyses, flow-path analyses, or supply chain analyses",logistics engineers,2025.0,8
"conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance",search marketing strategists,2023.0,12
"conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance",search marketing strategists,2024.0,57
"conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance",search marketing strategists,2025.0,15
conduct meetings with staff to discuss production progress and to ensure production objectives are attained,producers and directors,2023.0,13
conduct meetings with staff to discuss production progress and to ensure production objectives are attained,producers and directors,2024.0,24
conduct meetings with staff to discuss production progress and to ensure production objectives are attained,producers and directors,2025.0,10
"conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate",atmospheric and space scientists,2023.0,6
"conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate",atmospheric and space scientists,2024.0,28
"conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate",atmospheric and space scientists,2025.0,19
conduct numerical simulations of climate conditions to understand and predict global or regional weather patterns,atmospheric and space scientists,2023.0,11
conduct numerical simulations of climate conditions to understand and predict global or regional weather patterns,atmospheric and space scientists,2024.0,49
conduct numerical simulations of climate conditions to understand and predict global or regional weather patterns,atmospheric and space scientists,2025.0,23
"conduct office automation feasibility studies, including workflow analysis, space design, or cost comparison analysis",computer user support specialists,2023.0,15
"conduct office automation feasibility studies, including workflow analysis, space design, or cost comparison analysis",computer user support specialists,2024.0,31
"conduct office automation feasibility studies, including workflow analysis, space design, or cost comparison analysis",computer user support specialists,2025.0,9
"conduct online marketing initiatives, such as paid ad placement, affiliate programs, sponsorship programs, email promotions, or viral marketing campaigns on social media web sites",search marketing strategists,2023.0,2
"conduct online marketing initiatives, such as paid ad placement, affiliate programs, sponsorship programs, email promotions, or viral marketing campaigns on social media web sites",search marketing strategists,2024.0,17
"conduct online marketing initiatives, such as paid ad placement, affiliate programs, sponsorship programs, email promotions, or viral marketing campaigns on social media web sites",search marketing strategists,2025.0,1
conduct presentations of analytic findings,intelligence analysts,2023.0,22
conduct presentations of analytic findings,intelligence analysts,2024.0,77
conduct presentations of analytic findings,intelligence analysts,2025.0,45
conduct quality analyses of data inputs and resulting analyses or predictions,bioinformatics technicians,2023.0,9
conduct quality analyses of data inputs and resulting analyses or predictions,bioinformatics technicians,2024.0,65
conduct quality analyses of data inputs and resulting analyses or predictions,bioinformatics technicians,2025.0,33
conduct reference or background checks on job applicants,human resources specialists,2024.0,4
conduct regular design reviews throughout the game development process,video game designers,2023.0,48
conduct regular design reviews throughout the game development process,video game designers,2024.0,146
conduct regular design reviews throughout the game development process,video game designers,2025.0,62
conduct research and interviews to determine which of a product's selling features should be promoted,writers and authors,2023.0,11
conduct research and interviews to determine which of a product's selling features should be promoted,writers and authors,2024.0,50
conduct research and interviews to determine which of a product's selling features should be promoted,writers and authors,2025.0,27
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","architecture teachers, postsecondary",2023.0,3
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","architecture teachers, postsecondary",2024.0,47
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","architecture teachers, postsecondary",2025.0,29
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","economics teachers, postsecondary",2023.0,4
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","economics teachers, postsecondary",2024.0,24
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","economics teachers, postsecondary",2025.0,14
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","education teachers, postsecondary",2023.0,12
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","education teachers, postsecondary",2024.0,44
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","education teachers, postsecondary",2025.0,27
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","engineering teachers, postsecondary",2023.0,57
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","engineering teachers, postsecondary",2024.0,162
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","engineering teachers, postsecondary",2025.0,73
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","environmental science teachers, postsecondary",2023.0,5
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","environmental science teachers, postsecondary",2024.0,44
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","environmental science teachers, postsecondary",2025.0,26
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","political science teachers, postsecondary",2023.0,9
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","political science teachers, postsecondary",2024.0,39
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media","political science teachers, postsecondary",2025.0,27
"conduct research into the feasibility, design, operation, or performance of robotic mechanisms, components, or systems, such as planetary rovers, multiple mobile robots, reconfigurable robots, or man-machine interactions",robotics engineers,2023.0,97
"conduct research into the feasibility, design, operation, or performance of robotic mechanisms, components, or systems, such as planetary rovers, multiple mobile robots, reconfigurable robots, or man-machine interactions",robotics engineers,2024.0,237
"conduct research into the feasibility, design, operation, or performance of robotic mechanisms, components, or systems, such as planetary rovers, multiple mobile robots, reconfigurable robots, or man-machine interactions",robotics engineers,2025.0,86
"conduct research on economic and environmental topics, such as alternative fuel use, public and private land use, soil conservation, air and water pollution control, and endangered species protection",environmental economists,2023.0,5
"conduct research on economic and environmental topics, such as alternative fuel use, public and private land use, soil conservation, air and water pollution control, and endangered species protection",environmental economists,2024.0,30
"conduct research on economic and environmental topics, such as alternative fuel use, public and private land use, soil conservation, air and water pollution control, and endangered species protection",environmental economists,2025.0,15
"conduct research on economic issues, and disseminate research findings through technical reports or scientific articles in journals",economists,2023.0,18
"conduct research on economic issues, and disseminate research findings through technical reports or scientific articles in journals",economists,2024.0,66
"conduct research on economic issues, and disseminate research findings through technical reports or scientific articles in journals",economists,2025.0,38
conduct research on new photonics technologies,photonics engineers,2023.0,3
conduct research on new photonics technologies,photonics engineers,2024.0,15
conduct research on new photonics technologies,photonics engineers,2025.0,7
conduct research on robotic technology to create new robotic systems or system capabilities,robotics engineers,2023.0,92
conduct research on robotic technology to create new robotic systems or system capabilities,robotics engineers,2024.0,242
conduct research on robotic technology to create new robotic systems or system capabilities,robotics engineers,2025.0,88
"conduct research on the structures and properties of materials, such as metals, alloys, polymers, and ceramics, to obtain information that could be used to develop new products or enhance existing ones",materials scientists,2023.0,11
"conduct research on the structures and properties of materials, such as metals, alloys, polymers, and ceramics, to obtain information that could be used to develop new products or enhance existing ones",materials scientists,2024.0,43
"conduct research on the structures and properties of materials, such as metals, alloys, polymers, and ceramics, to obtain information that could be used to develop new products or enhance existing ones",materials scientists,2025.0,25
"conduct research related to a range of nanotechnology topics, such as packaging, heat transfer, fluorescence detection, nanoparticle dispersion, hybrid systems, liquid systems, nanocomposites, nanofabrication, optoelectronics, or nanolithography",nanosystems engineers,2023.0,1
"conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems",mechanical engineers,2023.0,37
"conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems",mechanical engineers,2024.0,102
"conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems",mechanical engineers,2025.0,35
"conduct research to develop methodologies, instrumentation, and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public","medical scientists, except epidemiologists",2023.0,24
"conduct research to develop methodologies, instrumentation, and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public","medical scientists, except epidemiologists",2024.0,137
"conduct research to develop methodologies, instrumentation, and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public","medical scientists, except epidemiologists",2025.0,66
conduct research to evaluate safety levels for products,"health and safety engineers, except mining safety engineers and inspectors",2023.0,9
conduct research to evaluate safety levels for products,"health and safety engineers, except mining safety engineers and inspectors",2024.0,56
conduct research to evaluate safety levels for products,"health and safety engineers, except mining safety engineers and inspectors",2025.0,31
conduct research to gather information about survey topics,survey researchers,2023.0,22
conduct research to gather information about survey topics,survey researchers,2024.0,110
conduct research to gather information about survey topics,survey researchers,2025.0,65
conduct research to help clients avoid repossessions or foreclosures or remove levies or wage garnishments,credit counselors,2023.0,2
conduct research to help clients avoid repossessions or foreclosures or remove levies or wage garnishments,credit counselors,2024.0,9
conduct research to help clients avoid repossessions or foreclosures or remove levies or wage garnishments,credit counselors,2025.0,5
"conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets",fundraisers,2023.0,1
"conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets",fundraisers,2024.0,7
"conduct research to identify the goals, net worth, charitable donation history, or other data related to potential donors, potential investors, or general donor markets",fundraisers,2025.0,2
"conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors",executive secretaries and executive administrative assistants,2023.0,9
"conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors",executive secretaries and executive administrative assistants,2024.0,44
"conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors",executive secretaries and executive administrative assistants,2025.0,22
"conduct searches to find needed information, using such sources as the internet","secretaries and administrative assistants, except legal, medical, and executive",2023.0,14
"conduct searches to find needed information, using such sources as the internet","secretaries and administrative assistants, except legal, medical, and executive",2024.0,56
"conduct searches to find needed information, using such sources as the internet","secretaries and administrative assistants, except legal, medical, and executive",2025.0,22
"conduct software compatibility tests with programs, hardware, operating systems, or network environments",software quality assurance analysts and testers,2023.0,71
"conduct software compatibility tests with programs, hardware, operating systems, or network environments",software quality assurance analysts and testers,2024.0,258
"conduct software compatibility tests with programs, hardware, operating systems, or network environments",software quality assurance analysts and testers,2025.0,115
conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs,electro-mechanical and mechatronics technologists and technicians,2023.0,2
conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs,electro-mechanical and mechatronics technologists and technicians,2024.0,4
conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs,electro-mechanical and mechatronics technologists and technicians,2025.0,4
conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs,mechanical engineering technologists and technicians,2023.0,5
conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs,mechanical engineering technologists and technicians,2024.0,10
conduct statistical studies to analyze or compare production costs for sustainable and nonsustainable designs,mechanical engineering technologists and technicians,2025.0,6
conduct verifications of employment,payroll and timekeeping clerks,2024.0,4
conduct verifications of employment,payroll and timekeeping clerks,2025.0,1
confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system,computer hardware engineers,2023.0,52
confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system,computer hardware engineers,2024.0,189
confer with engineering staff and consult specifications to evaluate interface between hardware and software and operational and performance requirements of overall system,computer hardware engineers,2025.0,67
configure security settings or access permissions for groups or individuals,computer network support specialists,2023.0,14
configure security settings or access permissions for groups or individuals,computer network support specialists,2024.0,61
configure security settings or access permissions for groups or individuals,computer network support specialists,2025.0,24
configure wide area network (wan) or local area network (lan) routers or related equipment,computer network support specialists,2023.0,20
configure wide area network (wan) or local area network (lan) routers or related equipment,computer network support specialists,2024.0,60
configure wide area network (wan) or local area network (lan) routers or related equipment,computer network support specialists,2025.0,37
"configure, monitor, and maintain email applications or virus protection software",network and computer systems administrators,2023.0,23
"configure, monitor, and maintain email applications or virus protection software",network and computer systems administrators,2024.0,53
"configure, monitor, and maintain email applications or virus protection software",network and computer systems administrators,2025.0,21
consolidate loads with a common destination to reduce costs to individual shippers,freight forwarders,2024.0,6
consolidate loads with a common destination to reduce costs to individual shippers,freight forwarders,2025.0,2
"consult sources, such as rate books, manuals, or insurance company representatives, to determine specific charges or information such as rules, regulations, or government tax and tariff information",billing and posting clerks,2023.0,3
"consult sources, such as rate books, manuals, or insurance company representatives, to determine specific charges or information such as rules, regulations, or government tax and tariff information",billing and posting clerks,2024.0,10
consult tax law handbooks or bulletins to determine procedures for preparation of atypical returns,tax preparers,2023.0,2
consult tax law handbooks or bulletins to determine procedures for preparation of atypical returns,tax preparers,2024.0,2
consult with end users regarding problems in accessing electronic content,document management specialists,2023.0,22
consult with end users regarding problems in accessing electronic content,document management specialists,2024.0,93
consult with end users regarding problems in accessing electronic content,document management specialists,2025.0,37
"contact credit bureaus, employers, and other sources to check applicants' credit and personal references",loan interviewers and clerks,2023.0,1
"contact credit bureaus, employers, and other sources to check applicants' credit and personal references",loan interviewers and clerks,2024.0,6
"contact credit bureaus, employers, and other sources to check applicants' credit and personal references",loan interviewers and clerks,2025.0,3
contact customers or travel agents to advise them of travel conveyance changes or to confirm reservations,reservation and transportation ticket agents and travel clerks,2023.0,1
contact customers or travel agents to advise them of travel conveyance changes or to confirm reservations,reservation and transportation ticket agents and travel clerks,2024.0,6
contact customers or travel agents to advise them of travel conveyance changes or to confirm reservations,reservation and transportation ticket agents and travel clerks,2025.0,2
contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments,customer service representatives,2023.0,3
contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments,customer service representatives,2024.0,14
contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments,customer service representatives,2025.0,7
contact industry representatives to ensure equipment and software specifications necessary for successful study completion,clinical research coordinators,2023.0,11
contact industry representatives to ensure equipment and software specifications necessary for successful study completion,clinical research coordinators,2024.0,79
contact industry representatives to ensure equipment and software specifications necessary for successful study completion,clinical research coordinators,2025.0,36
contact insurance companies to check on status of claims payments and write appeal letters for denial on claims,bill and account collectors,2023.0,1
contact insurance companies to check on status of claims payments and write appeal letters for denial on claims,bill and account collectors,2024.0,9
contact insurance companies to check on status of claims payments and write appeal letters for denial on claims,bill and account collectors,2025.0,2
contact job applicants to inform them of the status of their applications,human resources specialists,2024.0,11
contact job applicants to inform them of the status of their applications,human resources specialists,2025.0,1
"contact motel, hotel, resort, and travel operators to obtain current advertising literature",reservation and transportation ticket agents and travel clerks,2023.0,2
"contact motel, hotel, resort, and travel operators to obtain current advertising literature",reservation and transportation ticket agents and travel clerks,2024.0,6
"contact motel, hotel, resort, and travel operators to obtain current advertising literature",reservation and transportation ticket agents and travel clerks,2025.0,2
contact organizations to explain services and facilities offered,advertising and promotions managers,2023.0,2
contact organizations to explain services and facilities offered,advertising and promotions managers,2024.0,3
contact organizations to explain services and facilities offered,advertising and promotions managers,2025.0,1
contact potential vendors to determine material availability,logistics analysts,2023.0,1
contact potential vendors to determine material availability,logistics analysts,2024.0,11
contact potential vendors to determine material availability,logistics analysts,2025.0,3
"contact suppliers to schedule or expedite deliveries and to resolve shortages, missed or late deliveries, and other problems",procurement clerks,2023.0,3
"contact suppliers to schedule or expedite deliveries and to resolve shortages, missed or late deliveries, and other problems",procurement clerks,2024.0,14
"contact suppliers to schedule or expedite deliveries and to resolve shortages, missed or late deliveries, and other problems",procurement clerks,2025.0,5
contact suppliers to verify shipment details,"production, planning, and expediting clerks",2023.0,10
contact suppliers to verify shipment details,"production, planning, and expediting clerks",2024.0,41
contact suppliers to verify shipment details,"production, planning, and expediting clerks",2025.0,10
contact taxpayers by mail or telephone to address discrepancies and to request supporting documentation,"tax examiners and collectors, and revenue agents",2023.0,1
contact taxpayers by mail or telephone to address discrepancies and to request supporting documentation,"tax examiners and collectors, and revenue agents",2024.0,4
contact taxpayers by mail or telephone to address discrepancies and to request supporting documentation,"tax examiners and collectors, and revenue agents",2025.0,2
contribute written material or data for grant or patent applications,nanotechnology engineering technologists and technicians,2023.0,7
contribute written material or data for grant or patent applications,nanotechnology engineering technologists and technicians,2024.0,41
contribute written material or data for grant or patent applications,nanotechnology engineering technologists and technicians,2025.0,22
control audio equipment to regulate volume and sound quality during radio and television broadcasts,broadcast technicians,2023.0,1
control audio equipment to regulate volume and sound quality during radio and television broadcasts,broadcast technicians,2024.0,1
control audio equipment to regulate volume and sound quality during radio and television broadcasts,broadcast technicians,2025.0,1
control coolant systems,computer numerically controlled tool operators,2023.0,1
control coolant systems,computer numerically controlled tool operators,2024.0,2
control coolant systems,computer numerically controlled tool operators,2025.0,1
control operational budget and expenditures,computer and information systems managers,2023.0,70
control operational budget and expenditures,computer and information systems managers,2024.0,262
control operational budget and expenditures,computer and information systems managers,2025.0,116
"control, monitor, or operate equipment that regulates or distributes electricity or steam, using data obtained from instruments or computers",power distributors and dispatchers,2023.0,6
"control, monitor, or operate equipment that regulates or distributes electricity or steam, using data obtained from instruments or computers",power distributors and dispatchers,2024.0,18
"control, monitor, or operate equipment that regulates or distributes electricity or steam, using data obtained from instruments or computers",power distributors and dispatchers,2025.0,7
"converse with customer to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required",travel agents,2023.0,18
"converse with customer to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required",travel agents,2024.0,62
"converse with customer to determine destination, mode of transportation, travel dates, financial considerations, and accommodations required",travel agents,2025.0,13
"convert real objects to animated objects through modeling, using techniques such as optical scanning",special effects artists and animators,2023.0,10
"convert real objects to animated objects through modeling, using techniques such as optical scanning",special effects artists and animators,2024.0,15
"convert real objects to animated objects through modeling, using techniques such as optical scanning",special effects artists and animators,2025.0,5
"convert various types of files for printing or for the internet, using computer software",desktop publishers,2023.0,2
"convert various types of files for printing or for the internet, using computer software",desktop publishers,2024.0,17
"convert various types of files for printing or for the internet, using computer software",desktop publishers,2025.0,11
convert video and audio recordings into digital formats for editing or archiving,sound engineering technicians,2023.0,6
convert video and audio recordings into digital formats for editing or archiving,sound engineering technicians,2024.0,7
convert video and audio recordings into digital formats for editing or archiving,sound engineering technicians,2025.0,2
"coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization",treasurers and controllers,2023.0,3
"coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization",treasurers and controllers,2024.0,18
"coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization",treasurers and controllers,2025.0,14
coordinate efforts associated with the preparation of regulatory documents or submissions,regulatory affairs specialists,2023.0,2
coordinate efforts associated with the preparation of regulatory documents or submissions,regulatory affairs specialists,2024.0,15
coordinate efforts associated with the preparation of regulatory documents or submissions,regulatory affairs specialists,2025.0,7
"coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects",surveyors,2023.0,2
"coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects",surveyors,2024.0,13
"coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects",surveyors,2025.0,3
"coordinate fuel cell engineering or test schedules with departments outside engineering, such as manufacturing",fuel cell engineers,2023.0,3
"coordinate fuel cell engineering or test schedules with departments outside engineering, such as manufacturing",fuel cell engineers,2024.0,7
"coordinate fuel cell engineering or test schedules with departments outside engineering, such as manufacturing",fuel cell engineers,2025.0,4
"coordinate games, contests, or other on-air competitions, performing such duties as asking questions and awarding prizes",broadcast announcers and radio disc jockeys,2023.0,2
"coordinate games, contests, or other on-air competitions, performing such duties as asking questions and awarding prizes",broadcast announcers and radio disc jockeys,2024.0,1
"coordinate games, contests, or other on-air competitions, performing such duties as asking questions and awarding prizes",broadcast announcers and radio disc jockeys,2025.0,1
coordinate judges' meeting and appointment schedules,judicial law clerks,2023.0,5
coordinate judges' meeting and appointment schedules,judicial law clerks,2024.0,20
coordinate judges' meeting and appointment schedules,judicial law clerks,2025.0,5
coordinate or maintain office tracking systems for correspondence or follow-up actions,"court, municipal, and license clerks",2023.0,5
coordinate or maintain office tracking systems for correspondence or follow-up actions,"court, municipal, and license clerks",2024.0,19
coordinate or maintain office tracking systems for correspondence or follow-up actions,"court, municipal, and license clerks",2025.0,6
"coordinate structural, electrical, and mechanical designs and determine a method of presentation to graphically represent building plans",architectural and civil drafters,2023.0,9
"coordinate structural, electrical, and mechanical designs and determine a method of presentation to graphically represent building plans",architectural and civil drafters,2024.0,34
