task_norm,occupation_norm,year,company_year_count
design and conduct hardware or software tests,computer systems engineers/architects,2025,44
design and create special programs for tasks such as statistical analysis and data entry and cleaning,social science research assistants,2014,2
design and create special programs for tasks such as statistical analysis and data entry and cleaning,social science research assistants,2015,2
design and create special programs for tasks such as statistical analysis and data entry and cleaning,social science research assistants,2018,2
design and create special programs for tasks such as statistical analysis and data entry and cleaning,social science research assistants,2019,4
design and create special programs for tasks such as statistical analysis and data entry and cleaning,social science research assistants,2020,6
design and create special programs for tasks such as statistical analysis and data entry and cleaning,social science research assistants,2021,9
design and create special programs for tasks such as statistical analysis and data entry and cleaning,social science research assistants,2022,9
design and create special programs for tasks such as statistical analysis and data entry and cleaning,social science research assistants,2023,19
design and create special programs for tasks such as statistical analysis and data entry and cleaning,social science research assistants,2024,29
design and create special programs for tasks such as statistical analysis and data entry and cleaning,social science research assistants,2025,9
design and implement warehouse database structures,data warehousing specialists,2012,1
design and implement warehouse database structures,data warehousing specialists,2013,1
design and implement warehouse database structures,data warehousing specialists,2014,1
design and implement warehouse database structures,data warehousing specialists,2015,3
design and implement warehouse database structures,data warehousing specialists,2016,2
design and implement warehouse database structures,data warehousing specialists,2019,3
design and implement warehouse database structures,data warehousing specialists,2020,10
design and implement warehouse database structures,data warehousing specialists,2021,8
design and implement warehouse database structures,data warehousing specialists,2022,24
design and implement warehouse database structures,data warehousing specialists,2023,20
design and implement warehouse database structures,data warehousing specialists,2024,34
design and implement warehouse database structures,data warehousing specialists,2025,14
design and modify equipment to employer specifications,broadcast technicians,2013,1
design and modify equipment to employer specifications,broadcast technicians,2014,1
design and modify equipment to employer specifications,broadcast technicians,2016,1
design and modify equipment to employer specifications,broadcast technicians,2022,6
design and modify equipment to employer specifications,broadcast technicians,2023,1
design and modify equipment to employer specifications,broadcast technicians,2024,4
design and plan layout of equipment,chemical engineers,2007,1
design and plan layout of equipment,chemical engineers,2012,1
design and plan layout of equipment,chemical engineers,2014,1
design and plan layout of equipment,chemical engineers,2015,1
design and plan layout of equipment,chemical engineers,2018,1
design and plan layout of equipment,chemical engineers,2019,2
design and plan layout of equipment,chemical engineers,2020,4
design and plan layout of equipment,chemical engineers,2021,1
design and plan layout of equipment,chemical engineers,2022,3
design and plan layout of equipment,chemical engineers,2023,5
design and plan layout of equipment,chemical engineers,2024,11
design and plan layout of equipment,chemical engineers,2025,2
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2007,1
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2011,1
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2012,2
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2013,1
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2016,1
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2017,1
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2018,5
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2019,7
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2020,2
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2021,6
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2022,12
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2023,15
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2024,20
"design complex graphics and animation, using independent judgment, creativity, and computer equipment",special effects artists and animators,2025,5
design computer simulations to model physical data so that it can be better understood,physicists,2011,1
design computer simulations to model physical data so that it can be better understood,physicists,2012,1
design computer simulations to model physical data so that it can be better understood,physicists,2014,1
design computer simulations to model physical data so that it can be better understood,physicists,2015,3
design computer simulations to model physical data so that it can be better understood,physicists,2017,1
design computer simulations to model physical data so that it can be better understood,physicists,2019,2
design computer simulations to model physical data so that it can be better understood,physicists,2020,2
design computer simulations to model physical data so that it can be better understood,physicists,2021,2
design computer simulations to model physical data so that it can be better understood,physicists,2022,11
design computer simulations to model physical data so that it can be better understood,physicists,2023,9
design computer simulations to model physical data so that it can be better understood,physicists,2024,24
design computer simulations to model physical data so that it can be better understood,physicists,2025,8
design computers and the software that runs them,computer and information research scientists,2007,1
design computers and the software that runs them,computer and information research scientists,2008,1
design computers and the software that runs them,computer and information research scientists,2011,1
design computers and the software that runs them,computer and information research scientists,2012,1
design computers and the software that runs them,computer and information research scientists,2013,1
design computers and the software that runs them,computer and information research scientists,2014,4
design computers and the software that runs them,computer and information research scientists,2015,7
design computers and the software that runs them,computer and information research scientists,2016,4
design computers and the software that runs them,computer and information research scientists,2017,4
design computers and the software that runs them,computer and information research scientists,2018,6
design computers and the software that runs them,computer and information research scientists,2019,9
design computers and the software that runs them,computer and information research scientists,2020,8
design computers and the software that runs them,computer and information research scientists,2021,18
design computers and the software that runs them,computer and information research scientists,2022,30
design computers and the software that runs them,computer and information research scientists,2023,48
design computers and the software that runs them,computer and information research scientists,2024,82
design computers and the software that runs them,computer and information research scientists,2025,28
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2012,2
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2014,2
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2015,2
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2016,4
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2017,3
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2018,6
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2019,3
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2020,5
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2021,6
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2022,8
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2023,7
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2024,15
"design control systems or algorithms for purposes such as automotive energy management, emissions management, or increased operational safety or performance",automotive engineers,2025,9
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2012,1
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2013,1
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2015,3
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2016,3
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2017,1
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2019,3
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2020,9
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2021,10
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2022,24
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2023,17
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2024,31
"design database applications, such as interfaces, data transfer mechanisms, global temporary tables, data partitions, and function-based indexes to enable efficient access of the generic database structure",database architects,2025,13
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2010,1
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2013,4
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2014,1
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2015,7
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2016,8
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2017,4
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2018,3
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2019,8
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2020,4
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2021,12
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2022,11
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2023,3
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2024,31
"design electrical systems or components that minimize electric energy requirements, such as lighting systems designed to account for natural lighting",electrical engineers,2025,3
"design electrical systems, such as lighting systems",electrical and electronics drafters,2015,3
"design electrical systems, such as lighting systems",electrical and electronics drafters,2016,2
"design electrical systems, such as lighting systems",electrical and electronics drafters,2017,1
"design electrical systems, such as lighting systems",electrical and electronics drafters,2018,1
"design electrical systems, such as lighting systems",electrical and electronics drafters,2019,2
"design electrical systems, such as lighting systems",electrical and electronics drafters,2020,2
"design electrical systems, such as lighting systems",electrical and electronics drafters,2021,2
"design electrical systems, such as lighting systems",electrical and electronics drafters,2022,6
"design electrical systems, such as lighting systems",electrical and electronics drafters,2023,6
"design electrical systems, such as lighting systems",electrical and electronics drafters,2024,11
"design electrical systems, such as lighting systems",electrical and electronics drafters,2025,7
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2010,1
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2013,4
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2014,1
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2015,7
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2016,8
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2017,4
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2018,3
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2019,7
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2020,4
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2021,11
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2022,10
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2023,5
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2024,38
"design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications","electronics engineers, except computer",2025,3
design energy-efficient or environmentally sound civil structures,civil engineers,2007,1
design energy-efficient or environmentally sound civil structures,civil engineers,2012,2
design energy-efficient or environmentally sound civil structures,civil engineers,2014,1
design energy-efficient or environmentally sound civil structures,civil engineers,2015,4
design energy-efficient or environmentally sound civil structures,civil engineers,2016,1
design energy-efficient or environmentally sound civil structures,civil engineers,2017,2
design energy-efficient or environmentally sound civil structures,civil engineers,2018,1
design energy-efficient or environmentally sound civil structures,civil engineers,2019,2
design energy-efficient or environmentally sound civil structures,civil engineers,2020,5
design energy-efficient or environmentally sound civil structures,civil engineers,2021,4
design energy-efficient or environmentally sound civil structures,civil engineers,2022,6
design energy-efficient or environmentally sound civil structures,civil engineers,2023,3
design energy-efficient or environmentally sound civil structures,civil engineers,2024,15
design energy-efficient or environmentally sound civil structures,civil engineers,2025,5
"design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers",commercial and industrial designers,2007,1
"design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers",commercial and industrial designers,2013,1
"design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers",commercial and industrial designers,2018,1
"design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers",commercial and industrial designers,2019,4
"design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers",commercial and industrial designers,2020,5
"design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers",commercial and industrial designers,2021,5
"design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers",commercial and industrial designers,2022,6
"design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers",commercial and industrial designers,2023,5
"design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers",commercial and industrial designers,2024,13
"design graphic material for use as ornamentation, illustration, or advertising on manufactured materials and packaging or containers",commercial and industrial designers,2025,2
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2012,1
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2013,1
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2014,2
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2015,8
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2016,7
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2017,3
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2018,6
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2019,9
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2020,10
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2021,10
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2022,16
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2023,6
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2024,34
"design mechatronics components for computer-controlled products, such as cameras, video recorders, automobiles, or airplanes",mechatronics engineers,2025,12
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2012,1
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2014,2
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2015,4
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2016,6
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2017,2
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2018,4
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2019,2
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2020,4
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2021,9
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2022,13
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2023,7
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2024,20
"design molds, tools, dies, jigs, or fixtures for use in manufacturing processes",mechanical engineering technologists and technicians,2025,5
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2012,1
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2015,2
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2016,1
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2018,1
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2019,1
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2020,1
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2021,2
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2022,2
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2023,6
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2024,11
"design nano-enabled products with reduced toxicity, increased durability, or improved energy efficiency",nanosystems engineers,2025,3
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2006,1
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2013,1
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2014,3
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2015,2
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2016,1
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2017,1
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2018,3
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2019,3
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2020,5
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2021,4
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2022,4
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2023,9
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2024,9
"design new or improved transport infrastructure, such as junction improvements, pedestrian projects, bus facilities, or car parking areas",transportation planners,2025,3
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2007,1
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2012,1
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2014,1
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2015,1
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2016,2
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2017,2
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2019,2
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2020,4
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2021,2
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2022,6
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2023,5
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2024,15
"design new or modify existing aerospace systems to reduce polluting emissions, such as nitrogen oxide, carbon monoxide, or smoke emissions",aerospace engineers,2025,5
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2012,2
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2014,2
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2015,2
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2016,4
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2017,3
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2018,6
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2019,3
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2020,5
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2021,6
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2022,8
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2023,7
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2024,15
"design or analyze automobile systems in areas such as aerodynamics, alternate fuels, ergonomics, hybrid power, brakes, transmissions, steering, calibration, safety, or diagnostics",automotive engineers,2025,10
"design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation",biofuels/biodiesel technology and product development managers,2012,1
"design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation",biofuels/biodiesel technology and product development managers,2015,4
"design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation",biofuels/biodiesel technology and product development managers,2016,1
"design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation",biofuels/biodiesel technology and product development managers,2020,3
"design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation",biofuels/biodiesel technology and product development managers,2021,2
"design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation",biofuels/biodiesel technology and product development managers,2022,9
"design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation",biofuels/biodiesel technology and product development managers,2023,8
"design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation",biofuels/biodiesel technology and product development managers,2024,25
"design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation",biofuels/biodiesel technology and product development managers,2025,7
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2006,1
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2007,1
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2012,1
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2014,2
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2015,11
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2016,8
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2017,6
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2018,8
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2019,18
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2020,22
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2021,20
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2022,33
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2023,39
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2024,67
"design or coordinate successive phases of problem analysis, solution proposals, or testing",natural sciences managers,2025,18
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2011,1
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2012,1
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2014,2
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2015,4
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2016,2
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2017,3
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2018,1
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2019,5
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2020,3
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2021,8
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2022,7
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2023,12
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2024,15
design or coordinate the development of integrated geographic information systems (gis) spatial or non-spatial databases,geographic information systems technologists and technicians,2025,5
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2012,1
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2014,1
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2015,2
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2016,1
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2017,1
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2018,2
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2019,4
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2020,2
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2021,3
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2022,6
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2023,8
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2024,9
design or develop information databases that include geographic or topographic data,surveying and mapping technicians,2025,4
"design or engineer drainage, erosion, or sedimentation control systems for transportation projects",transportation engineers,2007,1
"design or engineer drainage, erosion, or sedimentation control systems for transportation projects",transportation engineers,2012,2
